director,movie_name,ranking,score,score_num,year
弗兰克·德拉邦特,肖申克的救赎,1,9.7,1863774,1994
陈凯歌,霸王别姬,2,9.6,1369329,1993
罗伯特·泽米吉斯,阿甘正传,3,9.5,1422161,1994
吕克·贝松,这个杀手不太冷,4,9.4,1616817,1994
罗伯托·贝尼尼,美丽人生,5,9.5,905393,1997
詹姆斯·卡梅隆,泰坦尼克号,6,9.4,1364709,1997
宫崎骏,千与千寻,7,9.3,1457987,2001
史蒂文·斯皮尔伯格,辛德勒的名单,8,9.5,728475,1993
克里斯托弗·诺兰,盗梦空间,9,9.3,1374709,2010
莱塞·霍尔斯道姆,忠犬八公的故事,10,9.4,941328,2009
朱塞佩·托纳多雷,海上钢琴师,11,9.3,1139966,1998
安德鲁·斯坦顿,机器人总动员,12,9.3,907622,2008
拉库马·希拉尼,三傻大闹宝莱坞,13,9.2,1259896,2009
彼得·威尔,楚门的世界,14,9.3,998961,1998
克里斯托夫·巴拉蒂,放牛班的春天,15,9.3,878027,2004
克里斯托弗·诺兰,星际穿越,16,9.3,1013880,2014
刘镇伟,大话西游之大圣娶亲,17,9.2,989002,1995
黄东赫,熔炉,18,9.3,604239,2011
宫崎骏,龙猫,19,9.2,848649,1988
刘伟强,无间道,20,9.2,808597,2002
拜伦·霍华德,疯狂动物城,21,9.2,1167506,2016
弗朗西斯·福特·科波拉,教父,22,9.3,622398,1972
加布里尔·穆奇诺,当幸福来敲门,23,9.1,1012977,2006
罗伯·莱纳,怦然心动,24,9.1,1161711,2010
奥利维·那卡什,触不可及,25,9.2,662444,2011
克里斯托弗·诺兰,蝙蝠侠：黑暗骑士,26,9.2,680375,2008
比利·怀尔德,控方证人,27,9.6,252832,1957
张艺谋,活着,28,9.2,525368,1994
维克多·弗莱明,乱世佳人,29,9.3,451513,1939
李安,少年派的奇幻漂流,30,9.1,968793,2012
涅提·蒂瓦里,摔跤吧！爸爸,31,9.0,1022277,2016
贝纳尔多·贝托鲁奇,末代皇帝,32,9.2,456807,1987
彼得·杰克逊,指环王3：王者无敌,33,9.2,498582,2003
李·昂克里奇,寻梦环游记,34,9.1,974067,2017
彼特·道格特,飞屋环游记,35,9.0,893955,2009
Sidney,十二怒汉,36,9.4,300356,1957
姜文,鬼子来了,37,9.2,415529,2000
宫崎骏,天空之城,38,9.1,568862,1986
刘镇伟,大话西游之月光宝盒,39,9.0,796719,1995
宫崎骏,哈尔的移动城堡,40,9.0,647692,2004
娜丁·拉巴基,何以为家,41,9.1,557648,2018
朱塞佩·托纳多雷,天堂电影院,42,9.2,455981,1988
李濬益,素媛,43,9.2,398239,2013
威廉·惠勒,罗马假日,44,9.0,655581,1953
马丁·布莱斯,闻香识女人,45,9.1,568717,1992
大卫·芬奇,搏击俱乐部,46,9.0,602169,1999
杨宇硕,辩护人,47,9.2,402328,2013
弗洛里安·亨克尔·冯·多纳斯马尔克,窃听风暴,48,9.1,385621,2006
彼得·威尔,死亡诗社,49,9.1,467867,1989
弗朗西斯·福特·科波拉,教父2,50,9.2,342414,1974
Chris,哈利·波特与魔法石,51,9.0,583886,2001
Roger,狮子王,52,9.0,523033,1994
彼得·杰克逊,指环王2：双塔奇兵,53,9.1,458004,2002
Guy,两杆大烟枪,54,9.1,408254,1998
米洛斯·福尔曼,飞越疯人院,55,9.1,411013,1975
彼得·杰克逊,指环王1：魔戒再现,56,9.0,515144,2001
万籁鸣,大闹天宫,57,9.3,241832,1961
文牧野,我不是药神,58,9.0,1387233,2018
李安,饮食男女,59,9.1,372189,1994
朗·霍华德,美丽心灵,60,9.0,505783,2001
詹姆斯·麦克特格,V字仇杀队,61,8.9,719236,2005
安迪·沃卓斯基,黑客帝国,62,9.0,512944,1999
罗曼·波兰斯基,钢琴家,63,9.1,337724,2002
大卫·芬奇,本杰明·巴顿奇事,64,8.9,662578,2008
史蒂文·斯皮尔伯格,猫鼠游戏,65,9.0,508111,2002
路易·西霍尤斯,海豚湾,66,9.3,271642,2009
姜文,让子弹飞,67,8.8,1077487,2010
奥里奥尔·保罗,看不见的客人,68,8.8,761539,2016
岩井俊二,情书,69,8.9,611651,1995
朱塞佩·托纳多雷,西西里的美丽传说,70,8.9,645635,2000
史蒂文·斯皮尔伯格,拯救大兵瑞恩,71,9.0,426783,1998
马基德·马基迪,小鞋子,72,9.2,260257,1997
赛尔乔·莱翁内,美国往事,73,9.2,282864,1984
罗伯特·怀斯,音乐之声,74,9.0,394431,1965
马克·赫尔曼,穿条纹睡衣的男孩,75,9.1,319152,2008
克里斯托弗·诺兰,致命魔术,76,8.9,566829,2006
大卫·芬奇,七宗罪,77,8.8,664048,1995
昆汀·塔伦蒂诺,低俗小说,78,8.8,564713,1994
中岛哲也,被嫌弃的松子的一生,79,8.9,504650,2006
乔纳森·戴米,沉默的羔羊,80,8.8,561268,1991
埃里克·布雷斯,蝴蝶效应,81,8.8,623246,2004
王家卫,春光乍泄,82,8.9,418400,1997
格斯·范·桑特,心灵捕手,83,8.9,463363,1997
Martin,禁闭岛,84,8.8,619644,2010
韦斯·安德森,布达佩斯大饭店,85,8.8,584965,2014
梅尔·吉布森,勇敢的心,86,8.9,425318,1995
蒂姆·波顿,剪刀手爱德华,87,8.7,758279,1990
詹姆斯·卡梅隆,阿凡达,88,8.7,896129,2009
让-皮埃尔·热内,天使爱美丽,89,8.7,729133,2001
彼得·法雷里,绿皮书,90,8.9,969350,2018
查理·卓别林,摩登时代,91,9.3,181406,1936
阿兰·葛斯彭纳,海蒂和爷爷,92,9.2,212204,2015
戈尔·维宾斯基,加勒比海盗,93,8.7,592711,2003
詹姆斯·曼高德,致命ID,94,8.8,519752,2003
周星驰,喜剧之王,95,8.7,611299,1999
李安,断背山,96,8.8,504613,2005
宫崎骏,幽灵公主,97,8.9,370836,1997
泷田洋二郎,入殓师,98,8.8,432934,2008
托马斯·温特伯格,狩猎,99,9.1,228081,2012
姜文,阳光灿烂的日子,100,8.8,426000,1994
奉俊昊,杀人回忆,101,8.8,420358,2003
王家卫,重庆森林,102,8.7,533671,1994
M·奈特·沙马兰,第六感,103,8.9,366022,1999
卢卡·瓜达尼诺,请以你的名字呼唤我,104,8.9,398565,2017
森淳一,小森林 夏秋篇,105,9.0,269642,2014
大卫·芬奇,消失的爱人,106,8.7,600581,2014
亚当·艾略特,玛丽和马克思,107,8.9,316215,2009
大卫·叶茨,哈利·波特与死亡圣器(下),108,8.8,483377,2011
李焕庆,7号房的礼物,109,8.9,332964,2013
今敏,红辣椒,110,9.0,251913,2006
理查德·林克莱特,爱在黎明破晓前,111,8.8,384482,1995
中岛哲也,告白,112,8.7,513354,2010
杨德昌,一一,113,9.0,235014,2000
近藤喜文,侧耳倾听,114,8.9,298487,1995
蒂姆·波顿,大鱼,115,8.8,393027,2003
姜炯哲,阳光姐妹淘,116,8.8,427989,2011
森淳一,小森林 冬春篇,117,9.0,236416,2015
